experiment_num,dataset,method,lookback,hidden_size,num_layers,dropout,learning_rate,best_epoch,training_time_sec,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
15,GAS,LSTM,10,128,2,0.1,0.001,95,2.594209909439087,0.0016090366567427683,0.040112799163643124,0.9133547711011023,0.01184513621403467,0.10883536288373678,0.5070941090952408,0.02189808056973471,0.14798000057350558,-8.271599989844253
1,LAKEERIE,LSTM,10,128,2,0.1,0.001,122,9.835570335388184,0.0025199935201229854,0.050199537050883106,0.9306243007246875,0.002171394112210599,0.04659822005410291,0.9200218641012146,0.0015483558131685264,0.0393491526359657,0.9581594810141563
2,LAKEERIE,LSTM,10,128,2,0.1,0.001,76,6.919747829437256,0.002660388459494114,0.0515789536486939,0.926759212574337,0.0022406934103544594,0.04733596318186057,0.9174693893323677,0.0015825445682501901,0.03978120873289536,0.9572356137454505
3,LAKEERIE,LSTM,10,128,2,0.1,0.001,121,9.761644840240479,0.002667844301873335,0.05165117909470543,0.9265539524121126,0.0026629402588894684,0.05160368454761218,0.901916931284765,0.0019381632052250142,0.04402457501470076,0.9476258921262212
4,LAKEERIE,LSTM,10,128,2,0.1,0.001,118,9.8106050491333,0.0025114884619679874,0.050114752937313656,0.9308584459128272,0.0021931627567761624,0.046831215623515075,0.9192200678710385,0.001524371889936592,0.039043205425996874,0.9588075877263255
5,LAKEERIE,LSTM,10,128,2,0.1,0.001,104,8.864674091339111,0.002574063938937893,0.05073523370339288,0.9291357361369459,0.0021732504470484268,0.04661813431539734,0.9199534904240922,0.0014965098631777145,0.038684749749451845,0.9595604906764577
6,LAKEERIE,LSTM,10,128,2,0.1,0.001,100,8.46649694442749,0.0025430281775239206,0.05042844611450883,0.9299901540683583,0.002210749303240544,0.0470186059261708,0.9185723092742876,0.0016517440234873433,0.04064165379862566,0.9553656681579856
7,LAKEERIE,LSTM,10,128,2,0.1,0.001,78,6.998037099838257,0.0027229074360405167,0.05218148556758917,0.9250380582613403,0.0020790901806355504,0.045597041358355156,0.9234216598094132,0.001652166827448997,0.04064685507451957,0.9553542429177182
8,LAKEERIE,LSTM,10,128,2,0.1,0.001,66,6.3023200035095215,0.002672349761095236,0.05169477498834129,0.9264299166232981,0.002164807417370971,0.04652749098512589,0.9202644693344355,0.001610172305214032,0.040126952353923315,0.9564890419025057
9,LAKEERIE,LSTM,10,128,2,0.1,0.001,95,8.062721014022827,0.0025731130822189896,0.050725862064818474,0.9291619133271878,0.002134293017770742,0.04619840925584713,0.9213883946432375,0.0015576631394222562,0.03946724134547861,0.9579079733454959
10,LAKEERIE,LSTM,10,128,2,0.1,0.001,131,10.614310264587402,0.0025169134844904243,0.050168849742548656,0.9307090944450266,0.002190870998689832,0.04680674095351899,0.9193044793275515,0.0015426663349963217,0.039276791302196794,0.9583132252100698
11,LAKEERIE,LSTM,10,128,2,0.1,0.001,82,7.332211017608643,0.00310477526812365,0.055720510300280364,0.9145251947678571,0.0030173316747216243,0.0549302437162045,0.8888637666577633,0.0025297370339733448,0.05029649126900747,0.9316400600566394
12,LAKEERIE,LSTM,10,128,2,0.1,0.001,73,6.768882989883423,0.002752164557436595,0.052461076594334154,0.9242326064856006,0.002478139589994604,0.049780915921612004,0.9087236242420436,0.0019602010404393536,0.044274157704459534,0.9470303736705469
13,LAKEERIE,LSTM,10,128,2,0.1,0.001,112,9.286204814910889,0.002577233237147141,0.050766457795941806,0.9290484850080352,0.0022748073385154876,0.04769494038695811,0.9162128839530994,0.0015483420667328457,0.039348977963002366,0.9581598524778716
14,LAKEERIE,LSTM,10,128,2,0.1,0.001,74,6.787970781326294,0.0026972809218406917,0.051935353294655574,0.9257435590209275,0.0021915855288922406,0.04681437310156188,0.9192781613075705,0.0015497748879004618,0.039367180339725395,0.9581211339993687
15,LAKEERIE,LSTM,10,128,2,0.1,0.001,86,7.55752968788147,0.0025957891027651677,0.05094888715924194,0.9285376399829866,0.002275009840844914,0.04769706323082076,0.9162054252615927,0.0017409341202116123,0.041724502635880664,0.9529555245052134
1,Nordic,LSTM,10,128,2,0.1,0.001,51,27.096546173095703,0.0002564024880907073,0.01601257281297129,0.9916603292281218,0.0006842755986788787,0.026158662020043737,0.9731150680315744,0.0006681736526547787,0.025849055159807656,0.9534249089726275
2,Nordic,LSTM,10,128,2,0.1,0.001,148,58.087149143218994,0.00021000636466368344,0.014491596346285782,0.9931693956859164,0.0006470499618912093,0.02543717676730673,0.9745776493576513,0.002374877172248204,0.04873271152160737,0.8344590211888565
3,Nordic,LSTM,10,128,2,0.1,0.001,81,35.85535788536072,0.0003053163355166718,0.017473303508972533,0.9900693720312707,0.0007978683838842766,0.028246564107591503,0.9686520500484003,0.001687879923446721,0.04108381583357029,0.8823462122975655
4,Nordic,LSTM,10,128,2,0.1,0.001,42,23.420011043548584,0.0003224358823502341,0.017956499724340325,0.9895125467624567,0.0006153153293385684,0.02480555037362744,0.9758244911840557,0.0013543038555437169,0.036800867592269026,0.9055981553596821
5,Nordic,LSTM,10,128,2,0.1,0.001,43,23.81518316268921,0.0003075761978070149,0.01753785043290696,0.9899958684251567,0.0006872931930765586,0.02621627725434255,0.9729965078779659,0.000798871609381745,0.028264316892183065,0.9443145987898417
6,Nordic,LSTM,10,128,2,0.1,0.001,40,22.65578603744507,0.00027802580384399023,0.01667410578843706,0.9909570157161446,0.0006560638786147483,0.02561374393982161,0.9742234959458546,0.0008125140041307255,0.02850463127512309,0.9433636547130428
7,Nordic,LSTM,10,128,2,0.1,0.001,47,24.868052005767822,0.0003298934432427531,0.018162969009574207,0.9892699843635192,0.000738018500029531,0.02716649591002732,0.9710035295675583,0.0007273195661685363,0.026968862900918465,0.9493021389489139
8,Nordic,LSTM,10,128,2,0.1,0.001,96,41.179034948349,0.0002621630029361618,0.01619144845083854,0.9914729644422129,0.0005700817821978625,0.023876385450856304,0.9776017003084441,0.0008749222297869413,0.0295790843297581,0.9390134849940688
9,Nordic,LSTM,10,128,2,0.1,0.001,61,29.93430185317993,0.000264516286167948,0.016263956657835386,0.9913964222544509,0.0006843028540197559,0.026159182976915694,0.9731139971794401,0.0013439253499648528,0.036659587422185384,0.9063215898143978
10,Nordic,LSTM,10,128,2,0.1,0.001,108,45.12536811828613,0.0002652119382170256,0.01628532892566268,0.991373795683608,0.0006545288551533293,0.025583761552073012,0.9742838064426922,0.0007577402794066267,0.027527082653391127,0.9471816610124489
11,Nordic,LSTM,10,128,2,0.1,0.001,70,32.180567026138306,0.0002692075249753376,0.016407544757681986,0.9912438364216954,0.0005532235550052472,0.02352070481523135,0.9782640537403899,0.0006396679473494835,0.0252916576631403,0.9554119011476685
12,Nordic,LSTM,10,128,2,0.1,0.001,102,40.84876799583435,0.00023439190080963847,0.015309862860575809,0.9923762390181814,0.0006555010128073559,0.025602754008257705,0.9742456107325989,0.0006414518549210297,0.025326899828463603,0.9552875537460626
13,Nordic,LSTM,10,128,2,0.1,0.001,65,29.90496802330017,0.0003529405222478461,0.018786711320714067,0.988520361953116,0.0006389579070221434,0.025277616719583028,0.9748955831624803,0.0007495342856012382,0.02737762381217987,0.947753660382579
14,Nordic,LSTM,10,128,2,0.1,0.001,67,30.437313079833984,0.000271041068282934,0.016463324946162424,0.9911841991395255,0.0005893901264342094,0.02427735830839528,0.976843082695571,0.0008476556701106243,0.029114526788368456,0.9409141024366783
15,Nordic,LSTM,10,128,2,0.1,0.001,58,27.655620098114014,0.0002622097953630694,0.0161928933598375,0.9914714424857064,0.0007306598296758186,0.027030720110197186,0.9712926489694771,0.0010971663606974302,0.03312350163701643,0.9235219423594129
1,PIGS,LSTM,10,128,2,0.1,0.001,188,3.8935458660125732,0.012987373871830942,0.1139621598243511,0.5435700320546959,0.007622966143662356,0.08730959937866144,0.5252179318521566,0.013063448324109085,0.11429544314673741,-0.31187603055506474
2,PIGS,LSTM,10,128,2,0.1,0.001,161,3.720306158065796,0.013321126701834331,0.11541718547007777,0.5318405788947689,0.007357262926695492,0.08577448878714167,0.5417667555629826,0.012777507854276506,0.11303763910431121,-0.2831609134411004
