experiment_num,dataset,method,lookback,best_epoch,training_time_sec,peak_memory_mb,peak_python_memory_mb,gpu_memory_mb,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
15,SUNSPOT,ARIMA_SVR,10,1,0.000950540998019278,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
1,B1H,ARIMA_SVR,10,1,0.001406584051437676,0.16384,0.141282,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
2,B1H,ARIMA_SVR,10,1,0.001173415977973491,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
3,B1H,ARIMA_SVR,10,1,0.001195124990772456,0.0,0.141282,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
4,B1H,ARIMA_SVR,10,1,0.001159709005150944,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
5,B1H,ARIMA_SVR,10,1,0.0012153750285506248,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
6,B1H,ARIMA_SVR,10,1,0.0011559580452740192,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
7,B1H,ARIMA_SVR,10,1,0.0012361249537207186,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
8,B1H,ARIMA_SVR,10,1,0.0012102500186301768,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
9,B1H,ARIMA_SVR,10,1,0.0011541669955477118,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
10,B1H,ARIMA_SVR,10,1,0.0011468750308267772,0.0,0.141282,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
11,B1H,ARIMA_SVR,10,1,0.0012798329698853195,0.0,0.141282,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
