experiment_num,dataset,method,phenotype,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test,gp_runtime_seconds,eval_time_seconds,eval_memory_mb,total_memory_mb
,Nordic,arima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.002472843882060229,0.04972769733317871,0.9198731652327299,0.0007710642644123899,0.027768043942856147,0.9698903399256152,0.0002693050470169474,0.01641051635436702,0.9812138302896455,,1.1260521411895752,0.21875,308.96875
,Nordic,arima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.0022624706008059154,0.047565434937630026,0.9266898289407796,0.0006698295862056,0.025881066172118956,0.973843501664824,0.00022897909208824862,0.015132055117803682,0.9840268864926915,,1.2544701099395752,0.65625,309.625
,Nordic,arima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.0027766631554451736,0.0526940523725892,0.9100285984591309,0.0009628643661522657,0.031030055851581476,0.9624006453149837,0.0005110291837186869,0.022605954607551677,0.9643516485167133,,1.195815086364746,0.0,309.625
,Nordic,sarima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0008631034879572134,0.029378622975851223,0.9720331109180318,0.0008645627945495401,0.029403448684627798,0.9662392707608037,0.00043660221766960014,0.02089502853957372,0.9695435215644432,,1.3065071105957031,0.0,309.625
,Nordic,sarima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.00045337736819182054,0.021292659960461036,0.985309346161368,0.0007349226123725349,0.02710945614306076,0.9713016527145383,0.0002684266304631312,0.016383730663775305,0.9812751068332497,,1.3051371574401855,0.015625,309.640625
,Nordic,sarima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.00011177915530725364,0.010572566164713922,0.9963780528270684,0.0006698280599312732,0.025881036685791264,0.9738435612650458,0.00022897672821562543,0.015131977009486415,0.9840270513916147,,1.2896547317504883,0.0,309.640625
,Nordic,sarima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.0009239971679180681,0.030397321722777947,0.9700599908727302,0.0011798901209784042,0.03434952868640855,0.9539259020195184,0.0005040014238003305,0.022449976031174965,0.9648418906862243,,1.2086398601531982,0.0,309.640625
,PIGS,arima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.012386550302293079,0.11129487994644263,0.5735414944140129,0.007076391288711743,0.08412128915269751,0.5526311545814131,0.011352627454362543,0.10654870930406686,0.08287516648500015,,0.9936189651489258,0.015625,309.65625
,PIGS,arima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.009041162689129044,0.09508502873286122,0.6887203753209666,0.007809025269635372,0.08836868941902087,0.5063140976539555,0.010309481925980385,0.10153561900131591,0.1671459375373674,,0.7894668579101562,0.0,309.65625
,PIGS,arima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.008902301852191414,0.09435201032405942,0.693501237107309,0.006927620990172704,0.08323233139935889,0.562036399991762,0.009928117097110856,0.09963993725966941,0.19795459012386962,,0.7986869812011719,0.0,309.65625
,PIGS,arima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.012480506184759085,0.1117161858673983,0.5703066724297152,0.007705327313886068,0.08777999381343148,0.5128698734502767,0.012086084755172893,0.10993673069167054,0.023622635949651416,,0.7837021350860596,0.0,309.65625
